Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,39000.0,3.587624,5.5581603180617094E-8,39000.0,78.75128205128206,55.91399671164765,-46.46518204312471,48.91505363087166,39000.0,109456.0,44.0,30.0,30.0,8.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,40000.0,3.683991,5.88781749498513E-8,40000.0,78.82249999999999,56.212847019390246,-45.95106822880774,49.50524558893656,40000.0,132232.0,51.0,36.0,36.0,8.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,41000.0,3.750466,6.117199694323871E-8,41000.0,78.90243902439025,56.4986606138152,-44.431457672399354,50.02022303114349,41000.0,133384.0,53.0,37.0,37.0,8.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,42000.0,3.802805,6.29832339535157E-8,42000.0,79.07619047619048,56.93677615766909,-42.94079375406634,50.66524448436536,42000.0,133768.0,55.0,38.0,38.0,8.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,43000.0,3.858146,6.49098112123708E-8,43000.0,79.12093023255814,57.08507499092287,-43.05289993626517,50.88084035452456,43000.0,134568.0,55.0,38.0,38.0,8.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,44000.0,3.922715,6.722846649587156E-8,44000.0,79.11363636363636,57.023687806532116,-42.28208701037316,50.710646285867526,44000.0,138808.0,57.0,39.0,39.0,8.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,45000.0,3.970788,6.895475489190885E-8,45000.0,79.16,57.121512784160856,-42.30652503793625,50.82070376002936,45000.0,138808.0,57.0,39.0,39.0,8.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,45312.0,4.003944,7.014537786237069E-8,45312.0,79.19535663841808,57.22657376287685,-41.82337896795541,50.98528570685801,45312.0,138808.0,57.0,39.0,39.0,8.0,0.0,0.0,1.0
Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,1000.0,0.146301,4.747674862543742E-10,1000.0,87.6,75.2237851662404,11.428571428571438,74.6938775510204,1000.0,12544.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,2000.0,0.179384,6.231393023497529E-10,2000.0,89.60000000000001,78.62193718138465,25.714285714285733,73.6040609137056,2000.0,17336.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,3000.0,0.213248,9.443394446538555E-10,3000.0,88.2,75.61792041523921,24.034334763948497,70.47539616346955,3000.0,36664.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,4000.0,0.232281,1.1542136573957073E-9,4000.0,88.52499999999999,76.13182719442888,27.71653543307083,71.1320754716981,4000.0,42624.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,5000.0,0.252685,1.402093397660388E-9,5000.0,88.34,75.45519457336664,26.666666666666654,70.01028806584361,5000.0,46960.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,6000.0,0.270075,1.613357300973601E-9,6000.0,87.75,74.33002530209659,22.38648363252375,68.88230313293818,6000.0,46960.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,7000.0,0.28475,1.7916377944250903E-9,7000.0,87.4,73.56768671535224,22.495606326889288,68.30758174631693,7000.0,46960.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,8000.0,0.29811,1.953942897833056E-9,8000.0,86.2,71.46502294170801,15.66080977845684,66.62636033857315,8000.0,46960.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
