Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1697000.0,121.521754,8.84098102080429E-5,1697000.0,95.56263995285799,90.89976325169178,90.90762000898347,89.48268180300875,1697000.0,3896328.0,1503.0,956.0,956.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1698000.0,121.625238,8.851412030427201E-5,1698000.0,95.56372202591284,90.90204022027896,90.91002337415665,89.48549733396611,1698000.0,3896328.0,1503.0,956.0,956.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1699000.0,121.729899,8.861981087617992E-5,1699000.0,95.56521483225427,90.9050920117988,90.91308170351226,89.48899264688444,1699000.0,3903496.0,1503.0,956.0,956.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1700000.0,121.834162,8.872519555644859E-5,1700000.0,95.56623529411765,90.90717521270034,90.9151064950468,89.49141247049542,1700000.0,3907056.0,1503.0,956.0,956.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1701000.0,121.938208,8.88302564651064E-5,1701000.0,95.56725455614344,90.90924208342395,90.91687727827957,89.49372697428923,1701000.0,3903176.0,1505.0,957.0,957.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1702000.0,122.042248,8.893541854548374E-5,1702000.0,95.56850763807286,90.91185388412796,90.91958686431751,89.49680060715355,1702000.0,3907160.0,1505.0,957.0,957.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1703000.0,122.145544,8.903982902932087E-5,1703000.0,95.56993540810335,90.91480159465321,90.92242477767498,89.50025886112239,1703000.0,3907176.0,1505.0,957.0,957.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1704000.0,122.24933,8.914473630345119E-5,1704000.0,95.5711854460094,90.91731771198779,90.9249204831737,89.5030329331614,1704000.0,3907232.0,1505.0,957.0,957.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1705000.0,122.353502,8.92500240460411E-5,1705000.0,95.5724926686217,90.92000790632858,90.92760980393571,89.50617627188386,1705000.0,3906872.0,1507.0,958.0,958.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1706000.0,122.457651,8.935531333023479E-5,1706000.0,95.57356389214537,90.92222770051352,90.92978283847411,89.50874560635742,1706000.0,3907792.0,1507.0,958.0,958.0,9.0,3984.0666666666666,0.0,1.017491898283719
